Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
182,SI002,艋舺大道~萬大路,"['艋舺大道', '萬大路', '艋舺大道', '康定路']",艋舺大道 萬大路,82.89,2180.27,2872.84,64.95,1209.96,1600.09,121.5005203,25.0330439
183,SI003,八德路~金山南路,"['八德路一段', '金山南路一段', '八德路一段', '金山北路']",八德路一段 金山南路一段,15.72,1745.09,1372.19,7.89,1644.03,1128.08,121.5298973,25.0436466
184,SI004,八德路~市民大道,"['市民大道三段', '八德路二段', '市民大道三段', '八德路二段']",市民大道三段 八德路二段,61.79,2560.14,4961.07,25.45,1880.68,2202.87,121.5345091,25.0448936
185,SI005,復興北路 ~八德路,"['八德路', '復興北路', '八德路', '復興北路']",八德路 復興北路,57.83,2185.07,3540.1,65.62,2232.63,3230.75,121.5647057,25.0490375
186,S001,八德路~光復南路,"['八德路四段', '光復南路', '八德路三段', '光復北路']",八德路四段 光復南路,101.65,1945.18,2454.17,83.8,1849.61,2256.59,121.5577577,25.0482031
187,SI007,信義路~杭州南路,"['信義路二段', '杭州南路二段', '信義路二段', '杭州南路二段']",信義路二段 杭州南路二段,360.02,1619.92,1176.06,469.79,1354.97,616.24,121.5243077,25.0353695
188,SI008,信義路~松德路,"['信義路六段', '松德路', '信義路五段', '松德路']",信義路六段 松德路,131.25,2238.57,2243.18,95.19,1699.11,1652.7,121.5746425,25.0335466
189,SI009,信義路~松山路,"['福德街', '松山路', '信義路六段', '松山路']",福德街 松山路,92.11,837.65,1336.24,60.23,416.79,815.98,121.5784558,25.0362724
190,SI010,信義路~松仁路,"['信義路五段', '松仁路', '信義路五段', '松仁路']",信義路五段 松仁路,298.5,3528.95,3912.55,149.25,1940.71,2497.04,121.5684556,25.0327831
191,SI011,信義路~市府路,"['信義路五段', '-', '信義路五段', '市府路']",信義路五段 市府路,71.09,1668.07,1719.84,13.06,688.18,761.76,121.5635343,25.0329839
192,SI012,信義路~莊敬路,"['信義路五段', '莊敬路', '信義路五段', '莊敬路']",信義路五段 莊敬路,103.6,1700.67,2173.73,65.84,1042.4,1574.76,121.5613525,25.0330215
193,SI013,信義路~大安路,"['信義路四段', '大安路二段', '信義路四段', '大安路一段']",信義路四段 大安路二段,135.43,1985.14,2572.43,57.1,1835.3,1755.6,121.545972,25.0332645
194,SI014,忠孝東路~金山南路,"['忠孝東路二段', '金山南路一段', '忠孝東路二段', '金山南路一段']",忠孝東路二段 金山南路一段,112.56,2952.85,2683.59,54.42,1702.33,1706.25,121.5299505,25.0430583
195,SI015,忠孝西路~環河北路,"['忠孝西路二段', '環河南路一段', '-', '環河北路一段']",忠孝西路二段 環河南路一段,4.76,1239.9,2195.34,0,796.46,1476.54,121.5061205,25.0488894
196,SI016,忠孝西路~西寧南路,"['忠孝西路二段', '西寧南路', '忠孝西路二段', '西寧南路']",忠孝西路二段 西寧南路,119.22,2173.93,3703.85,54.9,1122.05,2298.05,121.5075616,25.048519
197,SI107,忠孝西路-延平北路,"['忠孝西路一段', '博愛路', '忠孝西路一段', '延平北路一段']",忠孝西路一段 博愛路,407.44,3171.42,1145.14,224.62,1555.39,422.99,121.5123178,25.0474008
198,SI018,忠孝西路-館前路,"['忠孝西路一段', '館前路', '忠孝西路一段', '館前路']",忠孝西路一段 館前路,494.25,4035.7,528.05,207.08,2065.4,625.52,121.5150428,25.0468901
199,SI019,忠孝東路~松山路,"['忠孝東路五段', '松山路', '忠孝東路五段', '松山路']",忠孝東路五段 松山路,145.25,2237.7,2920.05,108.72,1500.45,1911.83,121.5778906,25.0408047
200,SI020,忠孝東路~大安路,"['忠孝東路四段', '大安路一段', '忠孝東路四段', '大安路一段']",忠孝東路四段 大安路一段,148.16,3746.25,2795.59,83.23,2219.61,1597.16,121.5461485,25.0415413
201,SI021,忠孝東路~林森南路,"['忠孝東路一段', '林森南路', '忠孝東路一段', '林森北路']",忠孝東路一段 林森南路,197.33,3653.89,1931.78,146.56,2372.88,2083.56,121.5233006,25.0447658
202,SI022,忠孝東路~逸仙路,"['忠孝東路四段', '逸仙路', '忠孝東路四段', '-']",忠孝東路四段 逸仙路,92.91,2557.65,2560.44,53.28,1789.5,1472.22,121.5615869,25.0413166
203,SI023,和平西路~環河南路,"['和平西路', '環河南路', '和平西路', '環河南路']",和平西路 環河南路,36.89,1107.76,1510.35,28.99,992.42,857.59,121.494352,25.035338
204,SI024,和平西路~艋舺大道,"['艋舺大道', '和平西路二段', '艋舺大道', '和平西路三段']",艋舺大道 和平西路二段,72.86,2069.2,3305.94,53.66,1205.86,1712.48,121.5047439,25.0338318
205,SI025,和平西路~康定路,"['和平西路三段', '康定路', '和平西路三段', '康定路']",和平西路三段 康定路,168.58,1470.45,2449.97,119.7,782.86,1502.44,121.5012382,25.0352738
206,SI026,和平西路~昆明街,"['南寧路', '和平西路三段', '和平西路三段', '昆明街']",南寧路 和平西路三段,122.37,1258.25,1609.38,71.28,574.72,1168,121.503358,25.0350138
207,SI027,和平西路~南海路,"['和平西路二段', '南海路', '和平西路二段', '南海路']",和平西路二段 南海路,50.95,1585.93,2188.12,47.06,832.12,1894.82,121.5092356,25.0305941
208,SI028,和平東路~金山南路,"['和平東路一段', '停車場出口', '和平東路一段', '金山南路']",和平東路一段 停車場出口,65.07,1268.64,2360.29,36.26,1112.29,1328.45,121.5430781,25.0254963
209,SI029,景福街~羅斯福路六段142巷,"['羅斯福路六段142巷', '景福街', '羅斯福路六段142巷', '景福街']",羅斯福路六段142巷 景福街,12.7,1176.44,322.86,11.29,487.32,139.39,121.5368806,24.9981458
